Crash Breakdown 2,Date Of Loss Year,Crash Severity,Cyclist Flag,Day Of Week,Derived Crash Congifuration,Intersection Crash,Month Of Year,Motorcycle Flag,Municipality Name (ifnull),Parking Lot Flag,Pedestrian Flag,Region,Street Full Name (ifnull),Time Category,Crash Breakdown,Cross Street Full Name,Heavy Veh Flag,Mid Block Crash,Municipality Name,Municipality With Boundary,Road Location Description,Street Full Name,Crash Count,Latitude,Longitude,Number of Records
LOWER MAINLAND,2015,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,No,JULY,No,VANCOUVER,No,No,LOWER MAINLAND,MARINE DRIVE,06:00-08:59,MONDAY,ONTARIO,N,N,VANCOUVER,NA,NA,MARINE DRIVE,1,NA,NA,1
VANCOUVER ISLAND,2019,PROPERTY DAMAGE ONLY,Yes,TUESDAY,SINGLE VEHICLE,No,MARCH,No,VICTORIA,No,No,VANCOUVER ISLAND,MCKENZIE ST,15:00-17:59,TUESDAY,SHELBOURNE,N,N,VICTORIA,NA,NA,MCKENZIE ST,1,NA,NA,1
LOWER MAINLAND,2019,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,No,NOVEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,NANAIMO ST,18:00-20:59,TUESDAY,CAMBRIDGE ST,N,N,VANCOUVER,NA,NA,NANAIMO ST,1,NA,NA,1
LOWER MAINLAND,2018,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,No,AUGUST,No,VANCOUVER,Yes,No,LOWER MAINLAND,MAIN ST,15:00-17:59,THURSDAY,2ND AVE,N,N,VANCOUVER,NA,NA,MAIN ST,1,NA,NA,1
VANCOUVER ISLAND,2016,PROPERTY DAMAGE ONLY,Yes,WEDNESDAY,SINGLE VEHICLE,No,APRIL,No,VICTORIA,No,No,VANCOUVER ISLAND,MCKENZIE ST,15:00-17:59,WEDNESDAY,NORTH ISLAND HIGHWAY,N,N,VICTORIA,NA,NA,MCKENZIE ST,1,NA,NA,1
SOUTHERN INTERIOR,2018,PROPERTY DAMAGE ONLY,Yes,SATURDAY,SINGLE VEHICLE,No,JULY,No,KELOWNA,No,No,SOUTHERN INTERIOR,LAKESHORE PL,12:00-14:59,SATURDAY,RITCHER RD,N,N,KELOWNA,NA,NA,LAKESHORE PL,1,NA,NA,1
LOWER MAINLAND,2015,PROPERTY DAMAGE ONLY,Yes,MONDAY,SINGLE VEHICLE,No,DECEMBER,No,NORTH VANCOUVER,No,No,LOWER MAINLAND,MAIN ST,12:00-14:59,MONDAY,GLADSTONE,N,N,NORTH VANCOUVER,NA,NA,MAIN ST,1,NA,NA,1
LOWER MAINLAND,2015,CASUALTY,Yes,FRIDAY,UNDETERMINED,No,APRIL,No,SURREY,No,No,LOWER MAINLAND,MALL ACCESS RD,12:00-14:59,FRIDAY,120 STREET,N,N,SURREY,NA,NA,MALL ACCESS RD,1,NA,NA,1
LOWER MAINLAND,2016,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,No,NOVEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,SMYTHE ST,06:00-08:59,TUESDAY,HOMER,N,N,VANCOUVER,NA,NA,SMYTHE ST,1,NA,NA,1
VANCOUVER ISLAND,2017,CASUALTY,Yes,THURSDAY,UNDETERMINED,No,AUGUST,No,LAKE COWICHAN,No,No,VANCOUVER ISLAND,STANLEY RD,09:00-11:59,THURSDAY,SOUTH SHORE,N,N,LAKE COWICHAN,NA,NA,STANLEY RD,1,NA,NA,1
NORTH CENTRAL,2016,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,No,JULY,No,CAMPBELL ISLAND,No,No,NORTH CENTRAL,UNKNOWN,15:00-17:59,FRIDAY,19 HIGHWAY,N,N,CAMPBELL ISLAND,NA,NA,UNKNOWN,1,NA,NA,1
VANCOUVER ISLAND,2018,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,No,JUNE,No,VICTORIA,No,No,VANCOUVER ISLAND,HENDERSON STREET,21:00-23:59,FRIDAY,KENDALL AVE,N,N,VICTORIA,NA,NA,HENDERSON STREET,1,NA,NA,1
SOUTHERN INTERIOR,2016,PROPERTY DAMAGE ONLY,Yes,FRIDAY,SINGLE VEHICLE,No,SEPTEMBER,No,KELOWNA,No,No,SOUTHERN INTERIOR,UNKNOWN,12:00-14:59,FRIDAY,LEON,N,N,KELOWNA,NA,NA,UNKNOWN,1,NA,NA,1
VANCOUVER ISLAND,2017,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,NANAIMO,No,No,VANCOUVER ISLAND,YELLOW POINT RD,18:00-20:59,MONDAY,TIESU RD,N,N,NANAIMO,NANAIMO,TIESU RD & YELLOW POINT RD,YELLOW POINT RD,1,49.093653,-123.844618,1
LOWER MAINLAND,2018,PROPERTY DAMAGE ONLY,Yes,TUESDAY,SINGLE VEHICLE,Yes,JUNE,No,LANGLEY,No,No,LOWER MAINLAND,200 ST,15:00-17:59,TUESDAY,48 AVE,N,N,LANGLEY,LANGLEY,200 ST & 48 AVE,200 ST,1,49.089557,-122.66856,1
LOWER MAINLAND,2016,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,Yes,MAY,No,DELTA,No,No,LOWER MAINLAND,64 ST,15:00-17:59,SUNDAY,HOLLY PARK DR,N,N,DELTA,DELTA,64 ST & HOLLY PARK DR,64 ST,1,49.087065,-123.046264,1
LOWER MAINLAND,2015,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,OCTOBER,No,DELTA,No,No,LOWER MAINLAND,53 ST,09:00-11:59,FRIDAY,LADNER TRUNK RD,N,N,DELTA,DELTA,53 ST & LADNER TRUNK RD,53 ST,1,49.090221,-123.075847,1
LOWER MAINLAND,2018,CASUALTY,Yes,SATURDAY,SINGLE VEHICLE,Yes,JUNE,No,LANGLEY,No,No,LOWER MAINLAND,48 AVE,15:00-17:59,SATURDAY,217A ST,N,N,LANGLEY,LANGLEY,217A ST & 48 AVE,48 AVE,1,49.089409,-122.621643,1
LOWER MAINLAND,2019,CASUALTY,Yes,THURSDAY,SIDE IMPACT,Yes,FEBRUARY,No,DELTA,No,No,LOWER MAINLAND,52A ST,15:00-17:59,THURSDAY,LADNER TRUNK RD,N,N,DELTA,DELTA,52A ST & LADNER TRUNK RD,52A ST,1,49.090238,-123.078426,1
LOWER MAINLAND,2016,CASUALTY,Yes,MONDAY,UNDETERMINED,Yes,SEPTEMBER,No,LANGLEY,No,No,LOWER MAINLAND,200 ST,15:00-17:59,MONDAY,42 AVE,N,N,LANGLEY,LANGLEY,200 ST & 42 AVE,200 ST,1,49.078299,-122.669346,1
LOWER MAINLAND,2018,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,DECEMBER,No,DELTA,No,No,LOWER MAINLAND,HWY 17A,15:00-17:59,MONDAY,LADNER TRUNK RD,N,N,DELTA,DELTA,HWY 17A & LADNER TRUNK RD & TURNING LANE,HWY 17A,1,49.090175,-123.056956,1
LOWER MAINLAND,2015,PROPERTY DAMAGE ONLY,Yes,TUESDAY,SINGLE VEHICLE,Yes,NOVEMBER,No,DELTA,No,No,LOWER MAINLAND,44 AVE,09:00-11:59,TUESDAY,MAPLE LANE,N,N,DELTA,DELTA,44 AVE & MAPLE LANE,44 AVE,1,49.083054,-123.075165,1
LOWER MAINLAND,2018,PROPERTY DAMAGE ONLY,Yes,SATURDAY,SINGLE VEHICLE,Yes,OCTOBER,No,DELTA,No,No,LOWER MAINLAND,HARVEST DR,12:00-14:59,SATURDAY,LADNER TRUNK RD,N,N,DELTA,DELTA,HARVEST DR & LADNER TRUNK RD,HARVEST DR,1,49.090195,-123.062988,1
LOWER MAINLAND,2018,PROPERTY DAMAGE ONLY,Yes,FRIDAY,SINGLE VEHICLE,Yes,JUNE,No,LANGLEY,No,No,LOWER MAINLAND,201A ST,15:00-17:59,FRIDAY,40 AVE,N,N,LANGLEY,LANGLEY,201A ST & 40 AVE,201A ST,1,49.074673,-122.665535,1
LOWER MAINLAND,2018,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,JUNE,No,LANGLEY,No,No,LOWER MAINLAND,232 ST,15:00-17:59,FRIDAY,FRASER HWY,N,N,LANGLEY,LANGLEY,232 ST & FRASER HWY,232 ST,1,49.082213,-122.581347,1
LOWER MAINLAND,2017,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,LANGLEY,No,No,LOWER MAINLAND,FRASER HWY,15:00-17:59,FRIDAY,228 ST,N,N,LANGLEY,LANGLEY,228 ST & FRASER HWY,FRASER HWY,1,49.086232,-122.592623,1
LOWER MAINLAND,2017,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,No,JULY,No,DELTA,No,No,LOWER MAINLAND,44 AVE,18:00-20:59,MONDAY,NA,N,N,DELTA,DELTA,44 AVE,44 AVE,1,49.083819,-123.066157,1
LOWER MAINLAND,2016,CASUALTY,Yes,WEDNESDAY,UNDETERMINED,Yes,JULY,No,ABBOTSFORD,No,No,LOWER MAINLAND,BLUERIDGE DR,09:00-11:59,WEDNESDAY,TOWNLINE RD,N,N,ABBOTSFORD,ABBOTSFORD,BLUERIDGE DR & TOWNLINE RD,BLUERIDGE DR,1,49.067694,-122.359821,1
LOWER MAINLAND,2019,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,APRIL,No,VANCOUVER,No,No,LOWER MAINLAND,SW MARINE DR,09:00-11:59,TUESDAY,MACDONALD ST,N,N,VANCOUVER,VANCOUVER,MACDONALD ST & SW MARINE DR,SW MARINE DR,1,49.225788,-123.168416,1
LOWER MAINLAND,2019,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,SW MARINE DR,09:00-11:59,TUESDAY,MACDONALD ST,N,N,VANCOUVER,VANCOUVER,MACDONALD ST & SW MARINE DR,SW MARINE DR,1,49.225788,-123.168416,1
LOWER MAINLAND,2015,PROPERTY DAMAGE ONLY,Yes,FRIDAY,SINGLE VEHICLE,No,SEPTEMBER,No,BURNABY,Yes,No,LOWER MAINLAND,12TH AVE,18:00-20:59,FRIDAY,NA,N,Y,BURNABY,BURNABY,12TH AVE,12TH AVE,1,49.225572,-122.920112,1
LOWER MAINLAND,2015,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,MAY,No,VANCOUVER,No,No,LOWER MAINLAND,W 49TH AVE,18:00-20:59,TUESDAY,SW MARINE DR,N,N,VANCOUVER,VANCOUVER,CEDARHURST ST & SW MARINE DR & W 49TH AVE,W 49TH AVE,1,49.227367,-123.171556,1
LOWER MAINLAND,2015,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,DECEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,E 49TH AVE,12:00-14:59,TUESDAY,BEATRICE ST,N,N,VANCOUVER,VANCOUVER,BEATRICE ST & E 49TH AVE,E 49TH AVE,1,49.225178,-123.067091,1
LOWER MAINLAND,2018,CASUALTY,Yes,WEDNESDAY,UNDETERMINED,Yes,APRIL,No,VANCOUVER,No,No,LOWER MAINLAND,W 49TH AVE,12:00-14:59,WEDNESDAY,HEATHER ST,N,N,VANCOUVER,VANCOUVER,HEATHER ST & W 49TH AVE,W 49TH AVE,1,49.22637,-123.123581,1
LOWER MAINLAND,2016,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,E 49TH AVE,15:00-17:59,THURSDAY,BROOKS ST,N,N,VANCOUVER,VANCOUVER,BROOKS ST & E 49TH AVE,E 49TH AVE,1,49.224673,-123.035186,1
LOWER MAINLAND,2018,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,MAY,No,VANCOUVER,No,No,LOWER MAINLAND,E 49TH AVE,21:00-23:59,TUESDAY,ELGIN ST,N,N,VANCOUVER,VANCOUVER,E 49TH AVE & ELGIN ST,E 49TH AVE,1,49.225386,-123.083865,1
LOWER MAINLAND,2015,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,Yes,JUNE,No,VANCOUVER,No,No,LOWER MAINLAND,E 51ST AVE,18:00-20:59,THURSDAY,ONTARIO ST,N,N,VANCOUVER,VANCOUVER,E 51ST AVE & ONTARIO ST,E 51ST AVE,1,49.223809,-123.105957,1
LOWER MAINLAND,2015,PROPERTY DAMAGE ONLY,Yes,SUNDAY,SINGLE VEHICLE,Yes,MAY,No,VANCOUVER,No,No,LOWER MAINLAND,MARINE CRES,06:00-08:59,SUNDAY,SW MARINE DR,N,N,VANCOUVER,VANCOUVER,MARINE CRES & SW MARINE DR,MARINE CRES,1,49.224215,-123.163984,1
LOWER MAINLAND,2015,PROPERTY DAMAGE ONLY,Yes,FRIDAY,SINGLE VEHICLE,Yes,JUNE,No,VANCOUVER,No,No,LOWER MAINLAND,W 49TH AVE,00:00-02:59,FRIDAY,ANGUS DR,N,N,VANCOUVER,VANCOUVER,ANGUS DR & W 49TH AVE,W 49TH AVE,1,49.227069,-123.147944,1
LOWER MAINLAND,2018,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,Yes,DECEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,KERR ST,06:00-08:59,THURSDAY,RUPERT ST,N,N,VANCOUVER,VANCOUVER,KERR ST & RUPERT ST,KERR ST,1,49.227246,-123.041097,1
LOWER MAINLAND,2017,PROPERTY DAMAGE ONLY,Yes,TUESDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,SW MARINE DR,18:00-20:59,TUESDAY,W 49TH AVE,N,N,VANCOUVER,VANCOUVER,CEDARHURST ST & SW MARINE DR & W 49TH AVE,SW MARINE DR,1,49.227367,-123.171556,1
LOWER MAINLAND,2019,CASUALTY,Yes,FRIDAY,UNDETERMINED,Yes,DECEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,W 49TH AVE,15:00-17:59,FRIDAY,SW MARINE DR,N,N,VANCOUVER,VANCOUVER,CEDARHURST ST & SW MARINE DR & W 49TH AVE,W 49TH AVE,1,49.227367,-123.171556,1
LOWER MAINLAND,2017,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,No,JUNE,No,VANCOUVER,Yes,No,LOWER MAINLAND,W 49TH AVE,06:00-08:59,WEDNESDAY,NA,N,N,VANCOUVER,VANCOUVER,W 49TH AVE,W 49TH AVE,1,49.225855,-123.109563,1
LOWER MAINLAND,2019,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,JUNE,No,MAPLE RIDGE,No,No,LOWER MAINLAND,232 ST,06:00-08:59,FRIDAY,ABERNETHY WAY,N,N,MAPLE RIDGE,MAPLE RIDGE,124 AVE & 232 ST & ABERNETHY WAY,232 ST,1,49.227619,-122.579171,1
LOWER MAINLAND,2019,PROPERTY DAMAGE ONLY,Yes,MONDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,MAIN ST,12:00-14:59,MONDAY,E 49TH AVE,N,N,VANCOUVER,VANCOUVER,E 49TH AVE & MAIN ST,MAIN ST,1,49.225649,-123.10164,1
LOWER MAINLAND,2016,CASUALTY,Yes,THURSDAY,UNDETERMINED,Yes,MARCH,No,VANCOUVER,No,No,LOWER MAINLAND,MACDONALD ST,12:00-14:59,THURSDAY,SW MARINE DR,N,N,VANCOUVER,VANCOUVER,MACDONALD ST & SW MARINE DR,MACDONALD ST,1,49.225788,-123.168416,1
LOWER MAINLAND,2017,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,JULY,No,VANCOUVER,No,No,LOWER MAINLAND,E 46TH AVE,12:00-14:59,FRIDAY,FRASER ST,N,N,VANCOUVER,VANCOUVER,E 46TH AVE & FRASER ST,E 46TH AVE,1,49.228273,-123.090675,1
LOWER MAINLAND,2018,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,MAY,No,VANCOUVER,No,No,LOWER MAINLAND,E 48TH AVE,21:00-23:59,TUESDAY,MAIN ST,N,N,VANCOUVER,VANCOUVER,E 48TH AVE & MAIN ST,E 48TH AVE,1,49.226658,-123.101565,1
VANCOUVER ISLAND,2018,PROPERTY DAMAGE ONLY,Yes,THURSDAY,SINGLE VEHICLE,Yes,NOVEMBER,No,NANAIMO,No,No,VANCOUVER ISLAND,BOWEN RD,21:00-23:59,THURSDAY,DUFFERIN CRES,N,N,NANAIMO,NANAIMO,BOWEN RD & DUFFERIN CRES,BOWEN RD,1,49.183802,-123.982534,1
LOWER MAINLAND,2016,CASUALTY,Yes,THURSDAY,UNDETERMINED,Yes,MAY,No,RICHMOND,No,No,LOWER MAINLAND,GARDEN CITY RD,21:00-23:59,THURSDAY,ODLIN RD,N,N,RICHMOND,RICHMOND,GARDEN CITY RD & ODLIN RD,GARDEN CITY RD,1,49.181748,-123.124567,1
LOWER MAINLAND,2015,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,NOVEMBER,No,RICHMOND,No,No,LOWER MAINLAND,DELF PL,09:00-11:59,TUESDAY,JACOMBS RD,N,N,RICHMOND,RICHMOND,DELF PL & JACOMBS RD,DELF PL,1,49.180823,-123.080332,1
LOWER MAINLAND,2019,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,JULY,No,SURREY,No,No,LOWER MAINLAND,97A AVE,12:00-14:59,MONDAY,KING GEORGE BLVD,N,N,SURREY,SURREY,97A AVE & KING GEORGE BLVD,97A AVE,1,49.179224,-122.845454,1
VANCOUVER ISLAND,2018,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,Yes,FEBRUARY,No,NANAIMO,No,No,VANCOUVER ISLAND,DUFFERIN CRES,15:00-17:59,SUNDAY,BOUNDARY AVE,N,N,NANAIMO,NANAIMO,BOUNDARY AVE & BOUNDARY CRES & DUFFERIN CRES,DUFFERIN CRES,1,49.183162,-123.9724,1
LOWER MAINLAND,2015,PROPERTY DAMAGE ONLY,Yes,SUNDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,MAPLE RIDGE,No,No,LOWER MAINLAND,240 ST,15:00-17:59,SUNDAY,LOUGHEED HWY,N,N,MAPLE RIDGE,MAPLE RIDGE,240 ST & LOUGHEED HWY,240 ST,1,49.183312,-122.556831,1
LOWER MAINLAND,2016,PROPERTY DAMAGE ONLY,Yes,SUNDAY,SINGLE VEHICLE,No,JUNE,No,RICHMOND,Yes,No,LOWER MAINLAND,HALL AVE,18:00-20:59,SUNDAY,NA,N,Y,RICHMOND,RICHMOND,HALL AVE,HALL AVE,1,49.182619,-123.106881,1
LOWER MAINLAND,2018,CASUALTY,Yes,MONDAY,UNDETERMINED,Yes,OCTOBER,No,SURREY,Yes,No,LOWER MAINLAND,140 ST,06:00-08:59,MONDAY,FRASER HWY,N,N,SURREY,SURREY,140 ST & FRASER HWY,140 ST,1,49.178795,-122.834372,1
LOWER MAINLAND,2017,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,OCTOBER,No,CHILLIWACK,No,No,LOWER MAINLAND,HEATHER ST,15:00-17:59,MONDAY,PORTAGE AVE,N,N,CHILLIWACK,CHILLIWACK,HEATHER ST & PORTAGE AVE,HEATHER ST,1,49.178061,-121.940799,1
VANCOUVER ISLAND,2016,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,Yes,MAY,No,NANAIMO,No,No,VANCOUVER ISLAND,BOWEN RD,06:00-08:59,THURSDAY,DUFFERIN CRES,N,N,NANAIMO,NANAIMO,BOWEN RD & DUFFERIN CRES,BOWEN RD,1,49.183802,-123.982534,1
LOWER MAINLAND,2016,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,Yes,MAY,No,SURREY,No,Yes,LOWER MAINLAND,100 AVE,18:00-20:59,SUNDAY,144 ST,N,N,SURREY,SURREY,100 AVE & 144 ST,100 AVE,1,49.18418,-122.82309,1
LOWER MAINLAND,2016,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,NOVEMBER,No,SURREY,No,No,LOWER MAINLAND,100 AVE,15:00-17:59,TUESDAY,KING GEORGE BLVD,N,N,SURREY,SURREY,100 AVE & KING GEORGE BLVD,100 AVE,1,49.184272,-122.845453,1
LOWER MAINLAND,2018,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,NOVEMBER,No,SURREY,No,No,LOWER MAINLAND,140 ST,06:00-08:59,FRIDAY,FRASER HWY,N,N,SURREY,SURREY,140 ST & FRASER HWY,140 ST,1,49.178795,-122.834372,1
LOWER MAINLAND,2016,CASUALTY,Yes,MONDAY,SIDE IMPACT,Yes,JUNE,No,ABBOTSFORD,No,No,LOWER MAINLAND,FRASER HWY,15:00-17:59,MONDAY,MT LEHMAN RD,N,N,ABBOTSFORD,ABBOTSFORD,FRASER HWY & MT LEHMAN RD & TURNING LANE,FRASER HWY,1,49.055796,-122.381184,1
LOWER MAINLAND,2015,PROPERTY DAMAGE ONLY,Yes,FRIDAY,SINGLE VEHICLE,Yes,APRIL,No,ABBOTSFORD,No,No,LOWER MAINLAND,SANDPIPER DR,15:00-17:59,FRIDAY,SOUTHERN DR,N,N,ABBOTSFORD,ABBOTSFORD,SANDPIPER DR & SOUTHERN DR,SANDPIPER DR,1,49.05714,-122.36473,1
LOWER MAINLAND,2016,CASUALTY,Yes,FRIDAY,SIDE IMPACT,Yes,JULY,No,ABBOTSFORD,No,No,LOWER MAINLAND,TIMS ST,12:00-14:59,FRIDAY,GEORGE FERGUSON WAY,N,N,ABBOTSFORD,ABBOTSFORD,GEORGE FERGUSON WAY & TIMS ST,TIMS ST,1,49.054951,-122.332253,1
LOWER MAINLAND,2016,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,FEBRUARY,No,ABBOTSFORD,No,No,LOWER MAINLAND,BRADNER RD,03:00-05:59,FRIDAY,FRASER HWY,N,N,ABBOTSFORD,ABBOTSFORD,BRADNER RD & FRASER HWY,BRADNER RD,1,49.05701,-122.426087,1
LOWER MAINLAND,2016,CASUALTY,Yes,THURSDAY,SIDE IMPACT,Yes,FEBRUARY,No,LANGLEY,No,No,LOWER MAINLAND,272 ST,09:00-11:59,THURSDAY,30 AVE,N,N,LANGLEY,LANGLEY,272 ST & 30 AVE,272 ST,1,49.05712,-122.470731,1
LOWER MAINLAND,2017,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,Yes,FEBRUARY,No,ABBOTSFORD,No,No,LOWER MAINLAND,JUSTICE WAY,12:00-14:59,SUNDAY,SOUTH FRASER WAY,N,N,ABBOTSFORD,ABBOTSFORD,JUSTICE WAY & SOUTH FRASER WAY,JUSTICE WAY,1,49.051659,-122.329867,1
LOWER MAINLAND,2016,PROPERTY DAMAGE ONLY,Yes,MONDAY,SINGLE VEHICLE,Yes,OCTOBER,No,LANGLEY,Yes,No,LOWER MAINLAND,271 ST,09:00-11:59,MONDAY,32 AVE,N,N,LANGLEY,LANGLEY,271 ST & 32 AVE,271 ST,1,49.060483,-122.472252,1
LOWER MAINLAND,2016,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,No,NOVEMBER,No,LANGLEY,No,No,LOWER MAINLAND,56 AVE,09:00-11:59,MONDAY,HWY 10,N,N,LANGLEY,NA,NA,56 AVE,1,NA,NA,1
SOUTHERN INTERIOR,2019,PROPERTY DAMAGE ONLY,Yes,SUNDAY,SINGLE VEHICLE,No,SEPTEMBER,No,PENTICTON,No,No,SOUTHERN INTERIOR,UNKNOWN,12:00-14:59,SUNDAY,NA,N,N,PENTICTON,NA,UNKNOWN,UNKNOWN,1,NA,NA,1
VANCOUVER ISLAND,2015,CASUALTY,Yes,MONDAY,UNDETERMINED,No,JANUARY,No,SIDNEY,No,No,VANCOUVER ISLAND,UNKNOWN,15:00-17:59,MONDAY,NA,N,N,SIDNEY,NA,UNKNOWN,UNKNOWN,1,NA,NA,1
NORTH CENTRAL,2018,CASUALTY,Yes,SATURDAY,UNDETERMINED,No,MAY,No,KITIMAT,No,No,NORTH CENTRAL,UNKNOWN,12:00-14:59,SATURDAY,NA,N,N,KITIMAT,NA,UNKNOWN,UNKNOWN,1,NA,NA,1
Unknown,2018,CASUALTY,Yes,SATURDAY,SINGLE VEHICLE,No,SEPTEMBER,No,UNKNOWN,No,No,Unknown,VICTORIA DR,15:00-17:59,SATURDAY,NA,N,N,NA,NA,VICTORIA DR,VICTORIA DR,1,NA,NA,1
LOWER MAINLAND,2016,PROPERTY DAMAGE ONLY,Yes,TUESDAY,SINGLE VEHICLE,No,AUGUST,No,NORTH VANCOUVER,No,No,LOWER MAINLAND,W 15TH ST,15:00-17:59,TUESDAY,NA,N,N,NORTH VANCOUVER,NA,W 15TH ST,W 15TH ST,1,NA,NA,1
VANCOUVER ISLAND,2015,CASUALTY,Yes,THURSDAY,SIDE IMPACT,No,FEBRUARY,No,SAANICH,No,No,VANCOUVER ISLAND,W SAANICH ROAD,12:00-14:59,THURSDAY,NA,N,N,SAANICH,NA,W SAANICH ROAD,W SAANICH ROAD,1,NA,NA,1
VANCOUVER ISLAND,2016,CASUALTY,Yes,SATURDAY,SINGLE VEHICLE,No,APRIL,No,VICTORIA,No,No,VANCOUVER ISLAND,W. SAANICH RD,06:00-08:59,SATURDAY,NA,N,N,VICTORIA,NA,W. SAANICH RD,W. SAANICH RD,1,NA,NA,1
LOWER MAINLAND,2016,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,No,NOVEMBER,No,SECHELT,No,No,LOWER MAINLAND,WAKEFIELD RD,21:00-23:59,THURSDAY,NA,N,N,SECHELT,NA,WAKEFIELD RD,WAKEFIELD RD,1,NA,NA,1
LOWER MAINLAND,2018,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,No,NOVEMBER,No,LANGLEY,No,No,LOWER MAINLAND,62 AVE,15:00-17:59,FRIDAY,206 ST,N,N,LANGLEY,NA,NA,62 AVE,1,NA,NA,1
LOWER MAINLAND,2015,PROPERTY DAMAGE ONLY,Yes,TUESDAY,UNDETERMINED,No,NOVEMBER,No,SURREY,Yes,No,LOWER MAINLAND,92,12:00-14:59,TUESDAY,140,N,N,SURREY,NA,NA,92,1,NA,NA,1
LOWER MAINLAND,2016,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,No,JANUARY,No,VANCOUVER,No,No,LOWER MAINLAND,BRUNSWICK ST,06:00-08:59,WEDNESDAY,2ND AVENUE,N,N,VANCOUVER,NA,NA,BRUNSWICK ST,1,NA,NA,1
LOWER MAINLAND,2018,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,No,AUGUST,No,DELTA,No,No,LOWER MAINLAND,75 AVE,18:00-20:59,SUNDAY,118,N,N,DELTA,NA,NA,75 AVE,1,NA,NA,1
LOWER MAINLAND,2015,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,No,FEBRUARY,No,BURNABY,No,No,LOWER MAINLAND,BURNABY MOUNTAIN PKY,15:00-17:59,MONDAY,DALLA-TINA AVE,N,N,BURNABY,NA,NA,BURNABY MOUNTAIN PKY,1,NA,NA,1
LOWER MAINLAND,2017,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,No,OCTOBER,No,MAPLE RIDGE,No,No,LOWER MAINLAND,DEWDNEY TRUNK RD,09:00-11:59,WEDNESDAY,NEAVES RD,N,N,MAPLE RIDGE,NA,NA,DEWDNEY TRUNK RD,1,NA,NA,1
LOWER MAINLAND,2019,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,No,SEPTEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,EAST 21ST,09:00-11:59,FRIDAY,QUEBEC,N,N,VANCOUVER,NA,NA,EAST 21ST,1,NA,NA,1
